rank,name,mbid,listeners,playcount,url
74,TWICE,8da127cc-c432-418f-b356-ef36210d82ac,1752338,457857958,https://www.last.fm/music/TWICE
75,Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,6998184,407492848,https://www.last.fm/music/Queen
76,The Cure,69ee3720-a7cb-4402-b48d-a02c366f2bcf,5228723,371571209,https://www.last.fm/music/The+Cure
77,Green Day,084308bd-1654-436f-ba03-df6697104e19,6368298,422480809,https://www.last.fm/music/Green+Day
78,Metro Boomin,59db3d82-86ea-451f-881f-dffc8ec387c9,2337794,227644887,https://www.last.fm/music/Metro+Boomin
79,Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,3359369,313233812,https://www.last.fm/music/Post+Malone
80,Hozier,b4691384-50c3-4afd-9988-51d3ec5db65d,3185085,260514461,https://www.last.fm/music/Hozier
81,RAYE,8be564c3-dfba-440b-af8c-4ffbceeef45e,1529382,45454936,https://www.last.fm/music/RAYE
82,Daft Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56,6111655,388440631,https://www.last.fm/music/Daft+Punk
83,Harry Styles,7eb1ce54-a355-41f9-8d68-e018b096d427,3042827,381759372,https://www.last.fm/music/Harry+Styles
84,Sade,67930b3e-e00b-469f-8c74-fd69f20522ec,3145313,117227300,https://www.last.fm/music/Sade
85,The Smashing Pumpkins,ba0d6274-db14-4ef5-b28d-657ebde1a396,4384838,242377935,https://www.last.fm/music/The+Smashing+Pumpkins
86,Pierce the Veil,8ed919fb-eaee-45a1-ba99-b3ede9ca5f1d,1920539,229727319,https://www.last.fm/music/Pierce+the+Veil
87,Pink Floyd,83d91898-7763-47d7-b03b-b92132375c47,5355709,584849693,https://www.last.fm/music/Pink+Floyd
88,Addison Rae,610b71d9-fa78-47d6-9073-083922e73840,1252954,85239561,https://www.last.fm/music/Addison+Rae
89,Panic! at the Disco,b9472588-93f3-4922-a1a2-74082cdf9ce8,4226808,294627342,https://www.last.fm/music/Panic%21+at+the+Disco
90,Calvin Harris,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,4789833,194093207,https://www.last.fm/music/Calvin+Harris
91,Jeff Buckley,e6e879c0-3d56-4f12-b3c5-3ce459661a8e,3152031,144336738,https://www.last.fm/music/Jeff+Buckley
92,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,3106493,301643013,https://www.last.fm/music/Dua+Lipa
93,Conan Gray,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,2276818,225152650,https://www.last.fm/music/Conan+Gray
94,J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5,3685515,274716537,https://www.last.fm/music/J.+Cole
95,Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,5310642,155260345,https://www.last.fm/music/Justin+Timberlake
96,BTS,0d79fe8e-ba27-4859-bb8c-2f255f346853,2201860,2559542273,https://www.last.fm/music/BTS
97,JAY-Z,,5422342,224290510,https://www.last.fm/music/JAY-Z
98,The Cranberries,c98d40fd-f6cf-4b26-883e-eaa515ee2851,4527778,147345172,https://www.last.fm/music/The+Cranberries
99,NewJeans,49204a7a-ed85-407a-828f-6fd46f1d8126,1664451,302455469,https://www.last.fm/music/NewJeans
100,XXXTENTACION,61af87f4-16ee-4431-8504-cc06187079fb,2670616,320384081,https://www.last.fm/music/XXXTENTACION
101,Black Eyed Peas,d5be5333-4171-427e-8e12-732087c6b78e,5496030,142200693,https://www.last.fm/music/Black+Eyed+Peas
102,Fall Out Boy,516cef4d-0718-4007-9939-f9b38af3f784,4864341,394810888,https://www.last.fm/music/Fall+Out+Boy
103,Lil Peep,92da4329-77a4-425c-8e92-4280110cace9,2041391,336956310,https://www.last.fm/music/Lil+Peep
104,Florence + the Machine,5fee3020-513b-48c2-b1f7-4681b01db0c6,3781160,267351212,https://www.last.fm/music/Florence+%252B+the+Machine
105,Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4,4811956,239232630,https://www.last.fm/music/Mariah+Carey
106,Gracie Abrams,f7441bc7-d7de-4813-a2fc-31a4033d396d,1687099,261852313,https://www.last.fm/music/Gracie+Abrams
107,Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04,5198368,276302376,https://www.last.fm/music/Weezer
108,Lil Wayne,,3404349,156297279,https://www.last.fm/music/Lil+Wayne
109,Metallica,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,4995384,514267300,https://www.last.fm/music/Metallica
110,The Killers,95e1ead9-4d31-4808-a7ac-32c3614c116b,6728096,367558456,https://www.last.fm/music/The+Killers
111,Kid Cudi,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,4536381,262158180,https://www.last.fm/music/Kid+Cudi
112,Kesha,,2944471,106797010,https://www.last.fm/music/Kesha
113,ABBA,d87e52c5-bb8d-4da8-b941-9f4928627dc8,4163044,176179164,https://www.last.fm/music/ABBA
114,Miley Cyrus,7e9bd05a-117f-4cce-87bc-e011527a8b18,4664068,286624462,https://www.last.fm/music/Miley+Cyrus
115,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,4593300,296023171,https://www.last.fm/music/Nicki+Minaj
116,Brent Faiyaz,201412c6-7ced-472b-87a9-9259ec3c07d3,1918063,210169468,https://www.last.fm/music/Brent+Faiyaz
117,Alex G,7df4c4de-3181-4a69-bd36-9d663970cebb,1931043,229861383,https://www.last.fm/music/Alex+G
118,Billy Joel,64b94289-9474-4d43-8c93-918ccc1920d1,3872725,119103825,https://www.last.fm/music/Billy+Joel
119,Yeat,9e6a6a2f-f696-4cc0-87f1-e4f712e46802,1488256,333828654,https://www.last.fm/music/Yeat
120,Phoebe Bridgers,96855c21-b832-4366-ba12-0d2330c36a86,2033020,270121017,https://www.last.fm/music/Phoebe+Bridgers
121,21 Savage,37b2cb82-ef79-4d46-a184-a549450aa231,2181539,204219846,https://www.last.fm/music/21+Savage
122,Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,5440340,306597823,https://www.last.fm/music/Adele
123,Frank Sinatra,197450cd-0124-4164-b723-3c22dd16494d,4699002,168774358,https://www.last.fm/music/Frank+Sinatra
124,David Guetta,302bd7b9-d012-4360-897a-93b00c855680,5010101,177762105,https://www.last.fm/music/David+Guetta
125,Marina,cbf7888b-30db-48a8-8575-1d4b1df41af0,2089712,166819446,https://www.last.fm/music/Marina
126,PARTYNEXTDOOR,f23ef341-33bd-47c1-b83c-846a78581f05,1847208,145097679,https://www.last.fm/music/PARTYNEXTDOOR
127,HUNTR/X,,913664,32370653,https://www.last.fm/music/HUNTR%2FX
128,Slipknot,a466c2a2-6517-42fb-a160-1087c3bafd9f,4064745,342003773,https://www.last.fm/music/Slipknot
